lng,lat
73.0849,17.8146
73.0846,17.8146
73.0846,17.8143
73.0837,17.8143
73.0837,17.814
73.0835,17.814
73.0835,17.8143
73.0832,17.8143
73.0832,17.8154
73.0835,17.8154
73.0835,17.8157
73.0832,17.8157
73.0832,17.8165
73.0829,17.8165
73.0829,17.8171
73.0826,17.8171
73.0826,17.8174
73.0824,17.8174
73.0824,17.8182
73.0826,17.8182
73.0826,17.8185
73.0832,17.8185
73.0832,17.8188
73.0843,17.8188
72.7818,19.1354
72.7818,19.1351
72.7826,19.1351
72.7826,19.1349
72.7835,19.1349
72.7835,19.1324
72.7818,19.1324
72.7818,19.1326
72.781,19.1326
72.781,19.1329
72.7804,19.1329
72.7804,19.1335
72.7801,19.1335
72.7801,19.134
72.7804,19.134
72.7804,19.1343
72.7807,19.1343
72.7807,19.1349
72.781,19.1349
72.781,19.1351
72.7813,19.1351
72.7813,19.1354
72.7818,19.1354
72.8126,18.7065
72.8126,18.7063
72.8129,18.7063
72.8129,18.706
72.8132,18.706
72.8132,18.7054
72.8138,18.7054
72.8138,18.7051
72.814,18.7051
72.814,18.7049
72.8146,18.7049
72.8146,18.7046
72.8149,18.7046
72.8149,18.7038
72.8151,18.7038
72.8151,18.7029
72.8143,18.7029
72.8143,18.7026
72.8138,18.7026
72.8138,18.7024
72.8126,18.7024
72.8126,18.7029
72.8124,18.7029
72.8124,18.7035
72.8121,18.7035
72.8121,18.7049
72.8118,18.7049
72.8118,18.706
72.8121,18.706
72.8121,18.7065
72.8126,18.7065
72.8426,18.7085
72.8426,18.7082
72.8429,18.7082
72.8429,18.7074
72.8426,18.7074
72.8426,18.7063
72.8424,18.7063
72.8424,18.7057
72.8421,18.7057
72.8421,18.7051
72.8412,18.7051
72.8412,18.7063
72.8415,18.7063
72.8415,18.7071
72.8418,18.7071
72.8418,18.7082
72.8421,18.7082
72.8421,18.7085
72.8426,18.7085
72.8649,18.6357
72.8649,18.6351
72.8651,18.6351
72.8651,18.6346
72.8654,18.6346
72.8654,18.634
72.8651,18.634
72.8651,18.6335
72.8649,18.6335
72.8649,18.6332
72.864,18.6332
72.864,18.6326
72.8635,18.6326
72.8635,18.6335
72.8637,18.6335
72.8637,18.6338
72.864,18.6338
72.864,18.6349
72.8643,18.6349
72.8643,18.6357
72.8649,18.6357
72.9015,18.9643
72.9015,18.964
72.9021,18.964
72.9021,18.9638
72.9026,18.9638
72.9026,18.9635
72.9035,18.9635
72.9035,18.9632
72.9037,18.9632
72.9037,18.9615
72.904,18.9615
72.904,18.961
72.9049,18.961
72.9049,18.9613
72.9057,18.9613
72.9057,18.9607
72.906,18.9607
72.906,18.9601
72.9063,18.9601
72.9063,18.9593
72.9065,18.9593
72.9065,18.9587
72.9076,18.9587
72.9076,18.9593
72.9079,18.9593
72.9079,18.9596
72.9085,18.9596
72.9085,18.9585
72.9088,18.9585
72.9088,18.9557
72.9085,18.9557
72.9085,18.9538
72.9088,18.9538
72.9088,18.9532
72.9076,18.9532
72.9076,18.954
72.9079,18.954
72.9079,18.9551
72.9076,18.9551
72.9076,18.956
72.9079,18.956
72.9079,18.9574
72.9076,18.9574
72.9076,18.9579
72.906,18.9579
72.906,18.9574
