lng,lat
108.085,24.6928
103.7575,29.5854
109.7388,38.2655
124.3644,43.1715
-3.6919,40.4189
116.9833,36.6667
110.7755,32.6351
113.097,36.1953
-117.1225,32.8312
73.079,31.418
-63.1975,-17.7892
106.7559,31.8576
113.35,22.5333
119.4551,32.2109
87.6,43.825
122.264,43.6172
114.6923,23.7503
109.1885,27.7233
108.6167,21.95
75.8667,26.9167
112.7233,38.4178
38.7369,9.0272
31.2118,29.987
103.8381,30.0575
-48.0773,-15.7744
59.6042,36.3069
121.1292,41.1144
123.8365,42.2841
113.5927,24.8011
115.3331,22.7664
-93.2678,44.9635
30.5236,50.45
44.2,15.35
121.0333,14.6333
104.6263,35.5806
-38.5108,-12.9708
126.6486,37.4639
29.0667,40.1833
119.5167,26.6667
-82.4451,27.9942
125.008,46.5979
-1.9025,52.48
119.0103,25.4394
120.0958,30.8695
111.3167,23.4833
-104.8759,39.7621
12.4828,41.8931
-68.1475,-16.4942
125.73,39.03
8.5167,12
120.6667,24.15
32.4629,15.6835
104.7645,29.3498
119.5881,39.9398
129.5997,44.5861
120.8378,40.7094
120.3,22.6167
112.9228,27.8431
-79.8833,-2.1833
119.4331,35.4164
-2.2453,53.4794
80.3311,26.4725
109.8345,40.6562
121.5319,25.0478
118.1728,26.6448
117.0244,25.0881
3.9167,7.3964
111.6629,40.8151
116.63,23.67
47.5214,-18.9386
105.349,33.535
122.1,37.5
91.8325,22.335
-69.8933,18.4764
118.7518,30.9475
117.6302,26.2658
-73.9496,40.6501
-75.5748,6.2447
153.0281,-27.4678
99.169,25.1211
55.3094,25.2697
114.0109,33.583
107.64,35.7278
82.58,25.15
105.8398,32.4353
-76.5197,3.44
128.6,35.8667
-38.5275,-3.7275
-90.5252,14.6099
11.5181,3.8578
9.7,4.05
126.55,43.85
120.83,40.7503
100.0871,23.8864
30.6956,36.9081
69.2667,41.3
115.0326,30.2018
107.5667,-6.95
79.0831,21.1539
124.3833,40.1167
117.0164,32.4831
109.9244,33.868
107,-6.2333
77.4167,28.6667
-117.0333,32.525
130.3653,46.8081
111.9627,21.8556
-0.187,5.6037
102.5432,24.3495
123.8917,41.8708
105.934,26.2456
-123.1,49.25
106.6319,-6.1783
32.4847,37.8714
-73.7976,40.7498
